+--------+-----------+--------------------------+---------------------+------------------------------------------------------------------------+--------------+
| Domain | Method    | URI                      | Name                | Action                                                                 | Middleware   |
+--------+-----------+--------------------------+---------------------+------------------------------------------------------------------------+--------------+
|        | GET|HEAD  | password/confirm         | password.confirm    | App\Http\Controllers\Auth\ConfirmPasswordController@showConfirmForm    | web,auth     |
|        | POST      | password/email           | password.email      | App\Http\Controllers\Auth\ForgotPasswordController@sendResetLinkEmail  | web          |
|        | GET|HEAD  | password/reset           | password.request    | App\Http\Controllers\Auth\ForgotPasswordController@showLinkRequestForm | web          |
|        | POST      | password/reset           | password.update     | App\Http\Controllers\Auth\ResetPasswordController@reset                | web          |
|        | GET|HEAD  | password/reset/{token}   | password.reset      | App\Http\Controllers\Auth\ResetPasswordController@showResetForm        | web          |
|        | POST      | province                 | province.store      | App\Http\Controllers\Backend\ProvinceController@store                  | web,auth     |
|        | GET|HEAD  | province                 | province.index      | App\Http\Controllers\Backend\ProvinceController@index                  | web,auth     |
|        | GET|HEAD  | province/create          | province.create     | App\Http\Controllers\Backend\ProvinceController@create                 | web,auth     |
|        | POST      | province/create          | province.store      | App\Http\Controllers\Backend\ProvinceController@store                  | web,auth     |
|        | GET|HEAD  | province/datatables      | province.datatables | App\Http\Controllers\Backend\ProvinceController@dataTables             | web,auth     |
|        | GET|HEAD  | province/delete/{id}     | province.delete     | App\Http\Controllers\Backend\ProvinceController@destroy                | web,auth     |
|        | GET|HEAD  | province/edit/{id}       | province.edit       | App\Http\Controllers\Backend\ProvinceController@edit                   | web,auth     |
|        | GET|HEAD  | province/show/{id}       | province.show       | App\Http\Controllers\Backend\ProvinceController@show                   | web,auth     |
|        | PUT       | province/update/{id}     | province.update     | App\Http\Controllers\Backend\ProvinceController@update                 | web,auth     |
|        | PUT|PATCH | province/{province}      | province.update     | App\Http\Controllers\Backend\ProvinceController@update                 | web,auth     |
|        | DELETE    | province/{province}      | province.destroy    | App\Http\Controllers\Backend\ProvinceController@destroy                | web,auth     |
|        | GET|HEAD  | province/{province}      | province.show       | App\Http\Controllers\Backend\ProvinceController@show                   | web,auth     |
|        | GET|HEAD  | province/{province}/edit | province.edit       | App\Http\Controllers\Backend\ProvinceController@edit                   | web,auth     |
|        | POST      | register                 |                     | App\Http\Controllers\Auth\RegisterController@register                  | web,guest    |
